time,threadID,CPU
187094,0,1
192260,0,1
192435,0,1
192619,0,1
192803,0,1
192988,0,1
193174,0,1
193359,0,1
193544,0,1
193728,0,1
193913,0,1
194098,0,1
194284,0,1
194469,0,1
194653,0,1
194838,0,1
195017,0,1
195196,0,1
195376,0,1
195555,0,1
195733,0,1
195913,0,1
196092,0,1
196271,0,1
196450,0,1
196630,0,1
196809,0,1
196987,0,1
197167,0,1
197345,0,1
197525,0,1
197703,0,1
197883,0,1
198061,0,1
198241,0,1
198421,0,1
198600,0,1
198779,0,1
198959,0,1
199137,0,1
199317,0,1
199496,0,1
199676,0,1
199855,0,1
200035,0,1
200214,0,1
200393,0,1
200573,0,1
200752,0,1
200931,0,1
201110,0,1
201289,0,1
201469,0,1
201648,0,1
201828,0,1
202006,0,1
202186,0,1
202366,0,1
202546,0,1
202725,0,1
202904,0,1
203084,0,1
203262,0,1
203442,0,1
203622,0,1
203802,0,1
203981,0,1
204160,0,1
204339,0,1
204519,0,1
204700,0,1
204878,0,1
205059,0,1
205237,0,1
205418,0,1
205598,0,1
205776,0,1
205956,0,1
206136,0,1
206316,0,1
206495,0,1
206674,0,1
206854,0,1
207034,0,1
207214,0,1
207393,0,1
207573,0,1
207752,0,1
207932,0,1
208111,0,1
208291,0,1
208470,0,1
208650,0,1
208829,0,1
209009,0,1
209188,0,1
209368,0,1
209547,0,1
209727,0,1
209906,0,1
210086,0,1
210265,0,1
210445,0,1
210625,0,1
210803,0,1
210983,0,1
211163,0,1
211342,0,1
211521,0,1
211701,0,1
211880,0,1
212059,0,1
212238,0,1
212418,0,1
212597,0,1
212776,0,1
212956,0,1
213135,0,1
213314,0,1
213494,0,1
213673,0,1
213852,0,1
214031,0,1
214211,0,1
214390,0,1
214570,0,1
214748,0,1
214927,0,1
215107,0,1
215287,0,1
215464,0,1
215643,0,1
215824,0,1
216002,0,1
216182,0,1
216361,0,1
216540,0,1
216719,0,1
216898,0,1
217078,0,1
217256,0,1
217436,0,1
217614,0,1
217794,0,1
217972,0,1
218151,0,1
218330,0,1
218509,0,1
218688,0,1
218867,0,1
219046,0,1
219225,0,1
219404,0,1
219583,0,1
219762,0,1
219941,0,1
220120,0,1
220299,0,1
220477,0,1
220656,0,1
220836,0,1
221015,0,1
221193,0,1
221372,0,1
221552,0,1
221729,0,1
221924,0,1
222104,0,1
222282,0,1
222462,0,1
222640,0,1
222820,0,1
222997,0,1
223177,0,1
223356,0,1
223535,0,1
223713,0,1
223892,0,1
224070,0,1
224250,0,1
224428,0,1
224607,0,1
224787,0,1
224965,0,1
225144,0,1
225324,0,1
225502,0,1
225681,0,1
225860,0,1
226039,0,1
226219,0,1
226398,0,1
226577,0,1
226755,0,1
226935,0,1
227113,0,1
227293,0,1
227472,0,1
227651,0,1
227830,0,1
228009,0,1
228188,0,1
228367,0,1
228546,0,1
228725,0,1
228904,0,1
229084,0,1
229262,0,1
229442,0,1
229622,0,1
229801,0,1
229979,0,1
230159,0,1
230339,0,1
230518,0,1
230696,0,1
230876,0,1
231054,0,1
231235,0,1
231414,0,1
231594,0,1
231773,0,1
231951,0,1
232130,0,1
232312,0,1
232492,0,1
232672,0,1
232852,0,1
233029,0,1
233210,0,1
233389,0,1
233568,0,1
233747,0,1
233927,0,1
234106,0,1
234287,0,1
234464,0,1
234645,0,1
234825,0,1
235005,0,1
235183,0,1
235363,0,1
235542,0,1
235722,0,1
235901,0,1
236081,0,1
236260,0,1
236440,0,1
236619,0,1
236799,0,1
236977,0,1
237158,0,1
237338,0,1
237517,0,1
237697,0,1
237876,0,1
238212,0,1
238380,0,1
238561,0,1
238741,0,1
238920,0,1
239099,0,1
239279,0,1
239459,0,1
239639,0,1
239818,0,1
239997,0,1
240177,0,1
240357,0,1
240537,0,1
240715,0,1
240895,0,1
241075,0,1
241255,0,1
241434,0,1
241613,0,1
241794,0,1
241973,0,1
242151,0,1
242331,0,1
242510,0,1
242690,0,1
242870,0,1
243049,0,1
243228,0,1
243408,0,1
243588,0,1
243766,0,1
243945,0,1
244125,0,1
244304,0,1
244483,0,1
244663,0,1
244844,0,1
245021,0,1
245200,0,1
245380,0,1
245560,0,1
245738,0,1
245918,0,1
246097,0,1
246276,0,1
246456,0,1
246635,0,1
246814,0,1
246993,0,1
247172,0,1
247352,0,1
247530,0,1
247710,0,1
247890,0,1
248068,0,1
248247,0,1
248427,0,1
248606,0,1
248785,0,1
248964,0,1
249143,0,1
249339,0,1
249518,0,1
249696,0,1
249876,0,1
250054,0,1
250233,0,1
250413,0,1
250591,0,1
250770,0,1
250950,0,1
251128,0,1
251308,0,1
251487,0,1
251665,0,1
251844,0,1
252023,0,1
252202,0,1
252381,0,1
252560,0,1
252738,0,1
252918,0,1
253096,0,1
253276,0,1
253454,0,1
253634,0,1
253811,0,1
253991,0,1
254170,0,1
254349,0,1
254528,0,1
254706,0,1
254885,0,1
255063,0,1
255243,0,1
255421,0,1
255600,0,1
255779,0,1
255958,0,1
256136,0,1
256316,0,1
256495,0,1
256672,0,1
256852,0,1
257031,0,1
257211,0,1
257390,0,1
257568,0,1
257747,0,1
257926,0,1
258105,0,1
258284,0,1
258463,0,1
258643,0,1
258821,0,1
259001,0,1
259179,0,1
259358,0,1
259538,0,1
259716,0,1
259896,0,1
260075,0,1
260255,0,1
260433,0,1
260612,0,1
260792,0,1
260970,0,1
261149,0,1
261328,0,1
261508,0,1
261686,0,1
261866,0,1
262045,0,1
262224,0,1
262404,0,1
262583,0,1
262762,0,1
262942,0,1
263120,0,1
263301,0,1
263479,0,1
263658,0,1
263838,0,1
264018,0,1
264196,0,1
264376,0,1
264554,0,1
264735,0,1
264913,0,1
265094,0,1
265273,0,1
265451,0,1
265630,0,1
265811,0,1
265989,0,1
266170,0,1
266349,0,1
266528,0,1
266708,0,1
266887,0,1
267067,0,1
267246,0,1
267426,0,1
267604,0,1
267785,0,1
267963,0,1
268143,0,1
268322,0,1
268502,0,1
268683,0,1
268861,0,1
269041,0,1
269220,0,1
269400,0,1
269579,0,1
269759,0,1
269939,0,1
270119,0,1
270298,0,1
270478,0,1
270657,0,1
270837,0,1
271017,0,1
271197,0,1
271376,0,1
271556,0,1
271735,0,1
271931,0,1
272111,0,1
272306,0,1
272486,0,1
272665,0,1
272845,0,1
273025,0,1
273204,0,1
273385,0,1
273563,0,1
273742,0,1
273922,0,1
274102,0,1
274281,0,1
274460,0,1
274640,0,1
274820,0,1
274998,0,1
275178,0,1
275358,0,1
275537,0,1
275717,0,1
275896,0,1
276075,0,1
276255,0,1
276435,0,1
276613,0,1
276793,0,1
276972,0,1
277151,0,1
277330,0,1
277510,0,1
277689,0,1
277868,0,1
278047,0,1
278227,0,1
278409,0,1
278588,0,1
278767,0,1
278946,0,1
279126,0,1
279304,0,1
279483,0,1
279663,0,1
279841,0,1
280021,0,1
280200,0,1
280380,0,1
280560,0,1
280738,0,1
280918,0,1
281096,0,1
281275,0,1
281454,0,1
281633,0,1
281812,0,1
281991,0,1
282170,0,1
282349,0,1
282528,0,1
282708,0,1
282886,0,1
283065,0,1
283245,0,1
283424,0,1
283602,0,1
283781,0,1
283960,0,1
284216,0,1
284385,0,1
284564,0,1
284744,0,1
284923,0,1
285102,0,1
285279,0,1
285459,0,1
285637,0,1
285817,0,1
285995,0,1
286174,0,1
286353,0,1
286532,0,1
286712,0,1
286890,0,1
287070,0,1
287247,0,1
287426,0,1
287605,0,1
287785,0,1
287963,0,1
288141,0,1
288320,0,1
288500,0,1
288678,0,1
288858,0,1
289037,0,1
289215,0,1
289394,0,1
289572,0,1
289752,0,1
289931,0,1
290110,0,1
290288,0,1
290469,0,1
290648,0,1
290826,0,1
291005,0,1
291185,0,1
291363,0,1
291542,0,1
291721,0,1
291901,0,1
292080,0,1
292259,0,1
292438,0,1
292617,0,1
292796,0,1
292975,0,1
293154,0,1
293334,0,1
293512,0,1
293692,0,1
293870,0,1
294049,0,1
294229,0,1
294409,0,1
294588,0,1
